Tratamiento	Siembra	Calibre	Total Cajas	Cajas 10 kg	Cajas.ha	Precio de venta	Venta total	Venta/ha
CropX	1	4	1518	2429	747	9.00	13662.00	6723.00
CropX	1	5	1474	2358	726	9.00	13266.00	6534.00
CropX	1	6	836	1338	412	9.00	7524.00	3708.00
CropX	1	11	70	91	28	8.30	581.00	232.40
CropX	1	7	360	540	166	9.00	3240.00	1494.00
CropX	1	8	660	990	305	8.30	5478.00	2531.50
CropX	1	9	60	90	28	8.30	498.00	232.40
Testigo	1	4	1188	1901	760	9.00	10692.00	6840.00
Testigo	1	5	1694	2710	1084	9.00	15246.00	9756.00
Testigo	1	6	1298	2077	831	9.00	11682.00	7479.00
Testigo	1	10	140	182	73	8.30	1162.00	605.90
Testigo	1	7	588	882	353	9.00	5292.00	3177.00
Testigo	1	8	660	990	396	8.30	5478.00	3286.80
Testigo	1	9	240	360	144	8.30	1992.00	1195.20
Lote 26 - 2020	1	na	8995	na	2418	8.30	74658.50	20069.40
Lote 26 - 2021	1	na	11874	na	3192	8.30	98554.20	26493.60
Lote 27 - 2020	1	na	5351	na	2074	8.30	44413.30	17214.20
Lote 27 - 2021	1	na	10354	na	2408	8.30	85938.20	19986.40
CropX	2	4	1540	2464	758	9.00	13860.00	6822.00
CropX	2	5	1386	2217.6	682	9.00	12474.00	6138.00
CropX	2	6	968	1548.8	476	9.00	8712.00	4284.00
CropX	2	10	70	91	28	8.30	581.00	232.40
CropX	2	11	140	182	56	8.30	1162.00	464.80
CropX	2	3	240	360	110	8.30	1992.00	913.00
CropX	2	7	480	720	221	9.00	4320.00	1989.00
CropX	2	8	828	1242	382	8.30	6872.40	3170.60
CropX	2	9	180	270	83	8.30	1494.00	688.90
Testigo	2	4	704	1126.4	450	9.00	6336.00	4050.00
Testigo	2	5	836	1337.6	535	9.00	7524.00	4815.00
Testigo	2	6	704	1126.4	450	9.00	6336.00	4050.00
Testigo	2	8	264	422.4	168	8.30	2191.20	1394.40
Testigo	2	3	120	180	72	8.30	996.00	597.60
Testigo	2	7	420	630	252	9.00	3780.00	2268.00
Testigo	2	8	468	702	280	8.30	3884.40	2324.00
