Fecha;Lote;DDT;Semana.cultivo;semana.yr;frutas.10m;fruta.daño;tipo.daño
15/1/21;22-1;48;7;2;25;1;hongo
15/1/21;22-1;48;7;2;25;1;pizote
15/1/21;22-1;48;7;2;25;1;larva
15/1/21;22-1;48;7;2;26;1;pizote
15/1/21;22-1;48;7;2;33;0;sin daño
15/1/21;22-1;48;7;2;25;1;hongo
15/1/21;22-1;48;7;2;25;1;pizote
15/1/21;22-1;48;7;2;36;0;sin daño
15/1/21;22-1;48;7;2;21;1;pizote
15/1/21;22-1;48;7;2;28;0;sin daño
15/1/21;22-1;48;7;2;25;1;hongo
15/1/21;22-1;48;7;2;25;1;pizote
15/1/21;22-1;48;7;2;30;1;larva
15/1/21;22-1;48;7;2;31;1;pizote
15/1/21;22-1;48;7;2;34;1;Hongo
15/1/21;22-1;48;7;2;35;1;pizote
15/1/21;22-1;48;7;2;26;0;sin daño
15/1/21;22-1;48;7;2;30;1;pizote
15/1/21;22-1;48;7;2;27;1;larva
15/1/21;22-1;48;7;2;27;1;pizote
15/1/21;22-1;48;7;2;33;0;sin daño
15/1/21;22-1;48;7;2;31;1;hongo
15/1/21;22-1;48;7;2;25;1;pizote
15/1/21;22-1;48;7;2;31;0;sin daño
14/1/20;22-1;41;6;3;25;0;sin daño
14/1/20;22-1;41;6;3;30;0;sin daño
14/1/20;22-1;41;6;3;31;0;sin daño
14/1/20;22-1;41;6;3;25;0;sin daño
14/1/20;22-1;41;6;3;30;0;sin daño
14/1/20;22-1;41;6;3;32;1;larva
14/1/20;22-1;41;6;3;30;0;sin daño
14/1/20;22-1;41;6;3;32;0;sin daño
14/1/20;22-1;41;6;3;28;0;sin daño
14/1/20;22-1;41;6;3;27;1;larva
14/1/20;22-1;41;6;3;30;0;sin daño
14/1/20;22-1;41;6;3;28;0;sin daño
14/1/20;22-1;41;6;3;28;0;sin daño
14/1/20;22-1;41;6;3;27;1;larva
14/1/20;22-1;41;6;3;30;0;sin daño
14/1/20;22-1;41;6;3;26;1;larva
14/1/20;22-1;41;6;3;28;0;sin daño
14/1/20;22-1;41;6;3;27;0;sin daño
14/1/20;22-1;41;6;3;30;0;sin daño
14/1/20;22-1;41;6;3;29;0;sin daño
21/1/21;22-2;48;7;3;32;0;sin daño
21/1/21;22-2;48;7;3;29;0;sin daño
21/1/21;22-2;48;7;3;31;1;pizote
21/1/21;22-2;48;7;3;35;1;larva
21/1/21;22-2;48;7;3;31;0;sin daño
21/1/21;22-2;48;7;3;27;1;pizote
21/1/21;22-2;48;7;3;30;1;larva
21/1/21;22-2;48;7;3;27;0;sin daño
21/1/21;22-2;48;7;3;30;1;pizote
21/1/21;22-2;48;7;3;30;0;sin daño
21/1/21;22-2;48;7;3;31;1;larva
21/1/21;22-2;48;7;3;27;1;pizote
21/1/21;22-2;48;7;3;27;0;sin daño
21/1/21;22-2;48;7;3;25;1;larva
21/1/21;22-2;48;7;3;32;1;larva
21/1/21;22-2;48;7;3;27;1;pizote
21/1/21;22-2;48;7;3;34;0;sin daño
21/1/21;22-2;48;7;3;31;2;larva
21/1/21;22-2;48;7;3;31;1;pizote
21/1/21;22-2;48;7;3;31;1;pizote
21/1/21;22-2;48;7;3;32;1;pizote
12/1/2021;22-2;38;6;2;30;0;sin daño
12/1/2021;22-2;38;6;2;25;0;sin daño
12/1/2021;22-2;38;6;2;22;1;pizote
12/1/2021;22-2;38;6;2;19;0;sin daño
12/1/2021;22-2;38;6;2;25;0;sin daño
12/1/2021;22-2;38;6;2;28;0;sin daño
12/1/2021;22-2;38;6;2;25;1;pizote
12/1/2021;22-2;38;6;2;30;0;sin daño
12/1/2021;22-2;38;6;2;25;0;sin daño
12/1/2021;22-2;38;6;2;28;1;larva
12/1/2021;22-2;38;6;2;27;1;pizote
12/1/2021;22-2;38;6;2;30;0;sin daño
12/1/2021;22-2;38;6;2;27;0;sin daño
12/1/2021;22-2;38;6;2;30;1;larva
12/1/2021;22-2;38;6;2;30;1;pizote
12/1/2021;22-2;38;6;2;32;0;sin daño
12/1/2021;22-2;38;6;2;27;0;sin daño
12/1/2021;22-2;38;6;2;29;1;pizote
12/1/2021;22-2;38;6;2;24;0;sin daño
12/1/2021;22-2;38;6;2;27;0;sin daño
12/1/2021;22-2;38;6;2;28;0;sin daño
15/1/20;22-2;41;6;3;31;0;sin daño
15/1/20;22-2;41;6;3;42;3;larva
15/1/20;22-2;41;6;3;38;3;larva
15/1/20;22-2;41;6;3;43;1;larva
15/1/20;22-2;41;6;3;37;0;sin daño
15/1/20;22-2;41;6;3;36;1;larva
15/1/20;22-2;41;6;3;40;2;larva
15/1/20;22-2;41;6;3;33;1;larva
15/1/20;22-2;41;6;3;38;1;larva
15/1/20;22-2;41;6;3;38;2;larva
15/1/20;22-2;41;6;3;36;3;larva
15/1/20;22-2;41;6;3;36;0;sin daño
15/1/20;22-2;41;6;3;34;3;larva
15/1/20;22-2;41;6;3;28;0;sin daño
15/1/20;22-2;41;6;3;31;1;larva
15/1/20;22-2;41;6;3;31;2;larva
15/1/20;22-2;41;6;3;36;3;larva
15/1/20;22-2;41;6;3;38;2;larva
15/1/20;22-2;41;6;3;34;3;larva
15/1/20;22-2;41;6;3;31;3;larva
