;fecha;Plaga;Muestreo;semana.cultivo;semana.yr;ddt;lote;incidencia(%)
;9/12/2020;spodoptera;Planta;1;50;7;22-2;3
;9/12/2020;malezas;Planta;1;50;7;22-2;10
;12/12/2020;spodoptera;Planta;2;50;9;22-2;5
;12/12/2020;malezas;Planta;2;50;9;22-2;10
;18/12/2020;afidos;Planta;2;51;14;22-2;2
;18/12/2020;spodoptera;Planta;2;51;14;22-2;4
;18/12/2020;malezas;Planta;2;51;14;22-2;12
;23/12/2020;afidos;Planta;3;52;19;22-2;6
;23/12/2020;spodoptera;Planta;3;52;19;22-2;3
;23/12/2020;Liriomyza;Planta;3;52;19;22-2;2
;23/12/2020;mildew velloso;Planta;3;52;19;22-2;4
;23/12/2020;malezas;Planta;3;52;19;22-2;6
;29/12/2021;afidos;Planta;4;1;25;22-2;4
;29/12/2021;spodoptera;Planta;4;1;25;22-2;3
;29/12/2021;mildew velloso;Planta;4;1;25;22-2;7
;29/12/2021;malezas;Planta;4;1;25;22-2;5
;25/2/2020;N/a;Planta;1;9;4;22-2;0
;29/2/2020;afidos;Planta;1;9;8;22-2;14
;29/2/2020;mosca blanca;Planta;1;9;8;22-2;20
;29/2/2020;malezas;Planta;1;9;8;22-2;10
;7/3/2020;afidos;Planta;3;10;15;22-2;19
;7/3/2020;adulto;Planta;3;10;15;22-2;40
;7/3/2020;spodoptera;Planta;3;10;15;22-2;3
;7/3/2020;malezas;Planta;3;10;15;22-2;10
;13/3/2020;afidos;Planta;3;11;21;22-2;11
;13/3/2020;mosca blanca;Planta;3;11;21;22-2;42
;13/3/2020;spodoptera;Planta;3;11;21;22-2;3
;13/3/2020;Liriomyza;Planta;3;11;21;22-2;23
;13/3/2020;malezas;Planta;3;11;21;22-2;10
;25/3/2020;afidos;Planta;5;13;33;22-2;9
;25/3/2020;mosca blanca;Planta;5;13;33;22-2;40
;25/3/2020;spodoptera;Planta;5;13;33;22-2;2
;25/3/2020;mildew polvoso;Planta;5;13;33;22-2;3
;25/3/2020;Spodoptera;Fruta;5;13;33;22-2;3
;31/3/2020;afidos;Planta;6;14;39;22-2;12
;31/3/2020;mosca blanca;Planta;6;14;39;22-2;80
;31/3/2020;mildew velloso;Planta;6;14;39;22-2;2
;31/3/2020;mildew polvoso;Planta;6;14;39;22-2;5
;31/3/2020;Virosis;Planta;6;14;39;22-2;3
;31/3/2020;malezas;Planta;6;14;39;22-2;8
;31/3/2020;spodoptera;Fruta;6;14;39;22-2;4
;31/3/2020;Virosis;Fruta;6;14;39;22-2;2
;17/12/2019;afidos;Planta;3;51;14;22-1;3
;17/12/2019;mosca blanca;Planta;3;51;14;22-1;4
;17/12/2019;spodoptera;Planta;3;51;14;22-1;5
;17/12/2019;malezas;Planta;3;51;14;22-1;8
;24/12/2019;afidos;Planta;3;52;20;22-1;6
;24/12/2019;mosca blanca;Planta;3;52;20;22-1;2
;24/12/2019;Spodoptera;Planta;3;52;20;22-1;6
;3/1/2020;afidos;Planta;5;1;30;22-1;10
;3/1/2020;Spodoptera;Planta;5;1;30;22-1;10
;3/1/2020;Diaphania;Fruta;5;1;30;22-1;3
;8/1/2020;afidos;Planta;5;2;35;22-1;2
;8/1/2020;mildew velloso;Planta;5;2;35;22-1;5
;8/1/2020;malezas;Planta;5;2;35;22-1;6
;8/1/2020;Spodoptera;Fruta;5;2;35;22-1;5
;8/1/2020;Mapache;Fruta;5;2;35;22-1;6
;8/1/2020;afidos;Planta;5;2;35;22-1;2
;8/1/2020;spodoptera;Planta;5;2;35;22-1;3
;8/12/2020;afidos;Planta;2;50;11;22-1;2
;8/12/2020;Spodoptera;Planta;2;50;11;22-1;3
;12/12/2020;Miridae;Planta;3;50;15;22-1;2
;12/12/2020;afidos;Planta;3;50;15;22-1;2
;12/12/2020;spodoptera;Planta;3;50;15;22-1;5
;12/12/2020;malezas;Planta;3;50;15;22-1;8
;18/12/2020;afidos;Planta;3;51;20;22-1;4
;18/12/2020;spodoptera;Planta;3;51;20;22-1;4
;18/12/2020;Liriomyza;Planta;3;51;20;22-1;2
;18/12/2020;malezas;Planta;3;51;20;22-1;10
;22/12/2020;Miridae;Planta;4;52;24;22-1;4
;22/12/2020;afidos;Planta;4;52;24;22-1;6
;22/12/2020;mosca blanca;Planta;4;52;24;22-1;2
;22/12/2020;spodoptera;Planta;4;52;24;22-1;3
;22/12/2020;mildew velloso;Planta;4;52;24;22-1;6
;28/12/2020;afidos;Planta;5;1;31;22-1;6
;28/12/2020;spodoptera;Planta;5;1;31;22-1;30
;28/12/2020;mildew velloso;Planta;5;1;31;22-1;9
;28/12/2020;spodoptera;Fruta;5;1;31;22-1;3
;14/1/2021;afidos;Planta;7;2;47;22-1;18
;14/1/2021;mosca blanca;Planta;7;2;47;22-1;4
;14/1/2021;mildew velloso;Planta;7;2;47;22-1;10
;14/1/2021;malezas;Planta;7;2;47;22-1;6
;14/1/2021;spodoptera;Fruta;7;2;47;22-1;3
;14/1/2021;pizote;Fruta;7;2;47;22-1;Na
