DDT	Lect.ini	Lect.fin	Diferencia	Volumen (m3)	m3.ha	Tratamiento	Siembra
0	24430	24495	65	650	260	Testigo	1
4	24473	24487	14	140	56	Testigo	1
6	24491	24495	4	40	16	Testigo	1
8	24505	24507	2	20	8	Testigo	1
11	24507	24510	3	30	12	Testigo	1
14	24524	24525	1	10	4	Testigo	1
15	24525	24529	4	40	16	Testigo	1
20	24608	24616	8	80	32	Testigo	1
22	24643	24652	9	90	36	Testigo	1
24	24670	24678	8	80	32	Testigo	1
25	24722	24732	10	100	40	Testigo	1
26	24740	24749	9	90	36	Testigo	1
29	24793	24807	14	140	56	Testigo	1
31	24855	24864	9	90	36	Testigo	1
32	24872	24886	14	140	56	Testigo	1
33	24913	24921	8	80	32	Testigo	1
34	24948	24959	11	110	44	Testigo	1
35	24975	24992	17	170	68	Testigo	1
36	25010	25020	10	100	40	Testigo	1
37	25033	25044	11	110	44	Testigo	1
38	25073	25089	16	160	64	Testigo	1
39	25116	25127	11	110	44	Testigo	1
40	25142	25152	10	100	40	Testigo	1
41	25175	25192	17	170	68	Testigo	1
42	25219	25230	11	110	44	Testigo	1
43	25289	25301	12	120	48	Testigo	1
44	25320	25337	17	170	68	Testigo	1
45	25354	25366	12	120	48	Testigo	1
46	25404	25415	11	110	44	Testigo	1
47	25439	25456	17	170	68	Testigo	1
48	25478	25489	11	110	44	Testigo	1
49	25523	25534	11	110	44	Testigo	1
51	25535	25549	14	140	56	Testigo	1
54	25724	25729	5	50	20	Testigo	1
55	25741	25757	16	160	64	Testigo	1
3	24371	24378	7	70	21.53846154	CropX	1
5	24421	24430	9	90	27.69230769	CropX	1
6	24455	24459	4	40	12.30769231	CropX	1
9	24461	24469	8	80	24.61538462	CropX	1
11	24487	24491	4	40	12.30769231	CropX	1
14	24495	24500	5	50	15.38461538	CropX	1
18	24510	24513	3	30	9.230769231	CropX	1
21	24534	24543	9	90	27.69230769	CropX	1
23	24543	24552	9	90	27.69230769	CropX	1
24	24565	24576	11	110	33.84615385	CropX	1
25	24576	24601	25	250	76.92307692	CropX	1
26	24616	24635	19	190	58.46153846	CropX	1
28	24652	24662	10	100	30.76923077	CropX	1
30	24678	24694	16	160	49.23076923	CropX	1
31	24694	24713	19	190	58.46153846	CropX	1
32	24749	24765	16	160	49.23076923	CropX	1
33	24765	24776	11	110	33.84615385	CropX	1
35	24807	24824	17	170	52.30769231	CropX	1
